Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,8,0.5,0.5,0.5,0.5,0,1,0.5,0.5
1,9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,11,0,1,0.5,0.5,0.5,0.5,0.5,0.5
1,12,0,1,0.5,0.5,0,1,0.5,0.5
1,13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,14,0.5,0.5,0.5,0.5,0,1,0.5,0.5
1,15,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,16,0.5,0.5,0.5,0.5,0,1,0.5,0.5
1,17,0,1,0.5,0.5,0.5,0.5,0.5,0.5
1,18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,19,0.5,0.5,0.5,0.5,0,1,0.5,0.5
1,20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,2,0.5475,0.5475,0.5,0.5,0.525,0.525,0.5,0.5
20,3,0.5,0.5,0.55,0.55,0.5,0.5,0.5,0.5
20,4,0.53125,0.53125,0.525,0.525,0.525,0.525,0.5,0.5
20,5,0.62625,0.62625,0.55,0.55,0.525,0.525,0.475,0.525
20,6,0.555,0.555,0.525,0.525,0.525,0.525,0.5,0.5
20,7,0.53125,0.53125,0.55,0.55,0.425,0.575,0.5,0.5
20,8,0.4525,0.5475,0.525,0.525,0.52125,0.52125,0.475,0.525
20,9,0.62625,0.62625,0.55,0.55,0.55,0.55,0.5,0.5
20,10,0.5,0.5,0.525,0.525,0.525,0.525,0.5,0.5
20,11,0.555,0.555,0.525,0.525,0.5,0.5,0.5,0.5
20,12,0.53125,0.53125,0.525,0.525,0.49625,0.50375,0.5,0.5
20,13,0.6025,0.6025,0.525,0.525,0.55,0.55,0.5,0.5
20,14,0.53125,0.53125,0.55,0.55,0.5,0.5,0.5,0.5
20,15,0.555,0.555,0.525,0.525,0.575,0.575,0.5,0.5
20,16,0.57125,0.57125,0.55,0.55,0.475,0.525,0.475,0.525
20,17,0.62625,0.62625,0.55,0.55,0.55,0.55,0.5,0.5
20,18,0.47625,0.52375,0.55,0.55,0.52125,0.52125,0.475,0.525
20,19,0.49875,0.50125,0.525,0.525,0.525,0.525,0.5,0.5
20,20,0.48375,0.51625,0.525,0.525,0.525,0.525,0.5,0.5
50,2,0.5268,0.5268,0.5,0.5,0.51,0.51,0.5,0.5
50,3,0.517,0.517,0.52,0.52,0.49,0.51,0.5,0.5
50,4,0.5222,0.5222,0.5,0.5,0.54,0.54,0.5,0.5
50,5,0.5392,0.5392,0.52,0.52,0.47,0.53,0.49,0.51
50,6,0.4902,0.5098,0.5,0.5,0.52,0.52,0.5,0.5
50,7,0.5366,0.5366,0.51,0.51,0.46,0.54,0.5,0.5
50,8,0.4556,0.5444,0.51,0.51,0.5388,0.5388,0.48,0.52
50,9,0.4752,0.5248,0.5,0.5,0.5,0.5,0.5,0.5
50,10,0.4974,0.5026,0.5,0.5,0.53,0.53,0.5,0.5
50,11,0.549,0.549,0.51,0.51,0.5188,0.5188,0.5,0.5
50,12,0.4928,0.5072,0.49,0.51,0.4788,0.5212,0.5,0.5
50,13,0.5712,0.5712,0.51,0.51,0.5088,0.5088,0.49,0.51
50,14,0.4902,0.5098,0.51,0.51,0.52,0.52,0.5,0.5
50,15,0.5222,0.5222,0.51,0.51,0.55,0.55,0.5,0.5
