SampleSize,Set,sappalphas,sappbetas,sappalpha_ds,sappbeta_ds
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,0,1,0
1,9,0,0,0,0
1,10,0,0,0,0
1,11,1,0,0,0
1,12,1,0,2,0
1,13,0,0,0,0
1,14,0,0,1,0
1,15,0,0,0,0
1,16,0,0,1,0
1,17,1,0,0,0
1,18,0,0,0,0
1,19,0,0,1,0
1,20,0,0,0,0
20,1,0,0,0,0
20,1,1,0,1,0
20,1,1,0,0,0
20,1,1,0,0,0
20,1,0,0,1,0
20,1,0,0,0,0
20,1,0,0,1,0
20,1,0,1,0,0
20,1,0,0,0,0
20,1,1,1,0,0
20,1,0,0,0,0
20,1,0,0,0,0
20,1,0,0,0,0
20,1,1,0,0,0
20,1,0,0,0,0
20,1,0,0,0,0
20,1,0,0,0,0
20,1,0,0,0,0
20,1,2,0,0,0
20,1,0,0,0,0
20,2,0,0,0,0
20,2,1,0,0,0
20,2,0,0,0,0
20,2,0,0,1,0
20,2,2,1,0,0
20,2,0,0,0,0
20,2,0,1,0,0
20,2,0,0,0,0
20,2,0,0,0,0
20,2,1,0,0,0
20,2,0,0,0,0
20,2,0,0,0,0
20,2,0,0,1,0
20,2,0,0,0,0
20,2,0,0,0,0
20,2,0,0,0,0
20,2,0,0,0,0
20,2,0,0,0,0
20,2,1,0,0,0
20,2,0,0,0,0
20,3,0,0,0,0
20,3,0,0,0,0
20,3,0,0,0,0
20,3,0,0,0,0
20,3,1,0,0,0
20,3,0,0,0,0
20,3,0,0,0,0
20,3,0,0,0,0
20,3,1,0,0,0
20,3,0,0,1,0
20,3,1,0,0,0
20,3,1,0,0,0
20,3,0,0,0,0
20,3,0,0,0,0
20,3,1,0,0,0
20,3,2,0,0,0
20,3,0,0,1,0
20,3,0,0,0,0
20,3,0,0,0,0
20,3,0,0,1,0
20,4,0,0,0,0
20,4,0,1,0,0
20,4,1,0,0,0
20,4,0,0,0,0
20,4,1,0,0,0
20,4,1,0,0,0
20,4,1,0,0,0
20,4,1,0,0,0
20,4,0,0,1,0
20,4,0,0,0,0
20,4,0,0,0,0
20,4,0,0,0,0
20,4,0,0,0,0
20,4,0,0,1,0
20,4,0,0,0,0
20,4,0,0,0,0
20,4,0,0,0,0
20,4,0,0,0,0
20,4,0,0,0,0
20,4,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,1
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,1,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,1,0
20,5,0,0,0,0
20,5,1,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,5,0,0,0,0
20,6,0,0,0,0
20,6,0,0,1,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,1,0,0,0
20,6,0,0,1,0
20,6,0,0,0,0
20,6,0,1,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,1,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,1,0,0,0
20,6,1,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,7,0,0,0,0
20,7,0,0,0,0
20,7,0,0,0,0
20,7,1,0,0,0
20,7,0,0,0,0
20,7,0,0,0,0
20,7,0,0,0,0
20,7,1,0,1,0
20,7,0,0,0,0
20,7,0,0,0,0
20,7,0,0,1,0
