 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 1 0
 3 0 0 1 1
 4 0 0 1 1
 5 0 0 1 1
 6 0 0 1 1
 7 0 0 1 1
 8 0 0 2 1
 9 0 0 2 1
 10 0 0 2 1
 11 0 0 2 1
 12 0 0 2 1
 13 0 0 2 1
 14 0 0 2 1
 15 0 0 2 1
 16 0 0 2 1
 17 0 0 2 1
 18 0 0 2 2
 19 0 0 2 2
 20 0 0 3 2
 21 0 0 3 2
 22 0 0 3 2
 23 0 0 3 2
 24 0 0 3 2
 25 0 0 3 2
 26 0 0 3 2
 27 0 0 3 2
 28 0 0 3 2
 29 0 0 3 2
 30 0 0 3 2
 31 0 0 3 2
 32 1 0 3 2
 33 1 0 3 2
 34 1 0 3 2
 35 1 0 3 2
 36 1 0 3 2
 37 2 0 3 2
 38 2 0 3 2
 39 2 0 3 2
 40 2 0 3 2
 41 2 0 3 2
 42 2 0 3 2
 43 2 0 3 2
 44 2 0 3 2
 45 2 0 3 2
 46 2 0 3 2
 47 2 0 3 2
 48 2 0 3 2
 49 2 0 3 2
 50 2 0 3 2
 51 2 0 3 2
 52 2 0 3 2
 53 2 0 3 2
 54 2 0 4 2
 55 2 0 4 2
 56 2 0 4 2
 57 2 0 4 2
 58 2 0 4 2
 59 2 0 4 2
 60 2 0 4 2
 61 2 0 4 2
 62 2 0 4 2
 63 2 0 4 2
 64 2 0 4 2
 65 2 0 4 2
 66 3 0 4 2
 67 3 1 4 2
 68 3 1 4 2
 69 3 1 4 2
 70 3 1 4 2
 71 3 1 4 2
 72 3 1 4 2
 73 3 1 4 2
 74 3 1 4 2
 75 3 1 4 2
 76 3 1 4 2
 77 3 1 4 2
 78 3 1 4 2
 79 4 1 4 2
 80 4 1 4 2
 81 4 1 4 2
 82 4 1 4 2
 83 4 1 4 2
 84 4 1 4 2
 85 4 1 4 2
 86 4 1 4 2
 87 4 1 4 2
 88 4 1 4 2
 89 4 1 4 2
 90 4 1 4 2
 91 4 1 4 2
 92 4 1 4 2
 93 4 1 4 2
 94 4 1 4 2
 95 4 1 4 2
 96 4 1 4 2
 97 4 2 4 2
 98 4 2 4 2
 99 4 2 4 2
 100 4 2 4 2
