 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 2 0 0 0
 3 4 0 2 0
 4 4 0 4 0
 5 5 0 5 1
 6 7 0 8 1
 7 8 0 8 1
 8 10 0 9 1
 9 10 0 10 1
 10 11 0 11 1
 11 12 0 11 1
 12 12 0 12 1
 13 13 1 12 1
 14 13 1 12 1
 15 13 1 12 1
 16 14 1 13 1
 17 16 1 15 1
 18 16 1 15 1
 19 18 1 15 1
 20 19 1 15 1
 21 19 1 16 1
 22 19 1 16 1
 23 19 1 16 1
 24 19 1 16 1
 25 19 1 16 1
 26 19 1 16 1
 27 19 1 16 1
 28 19 1 16 1
 29 19 1 16 1
 30 20 1 16 1
 31 20 1 16 1
 32 21 1 16 2
 33 21 1 16 2
 34 21 1 17 2
 35 21 1 17 2
 36 21 1 17 2
 37 21 1 17 2
 38 21 1 17 2
 39 21 1 17 2
 40 21 1 17 2
 41 23 1 17 2
 42 23 1 17 2
 43 23 1 17 2
 44 23 1 17 2
 45 23 1 18 2
 46 24 1 19 2
 47 24 1 19 2
 48 24 1 19 2
 49 24 1 19 2
 50 25 1 20 2
 51 25 1 20 2
 52 26 1 20 2
 53 26 1 20 2
 54 26 1 20 2
 55 26 1 20 2
 56 26 1 20 2
 57 26 1 20 2
 58 26 1 20 2
 59 26 1 20 2
 60 26 1 20 2
 61 26 1 20 2
 62 26 1 20 2
 63 27 1 20 2
 64 28 1 20 2
 65 28 1 20 2
 66 28 2 20 2
 67 28 2 20 2
 68 28 2 20 2
 69 28 2 20 2
 70 28 2 20 2
 71 28 2 20 2
 72 29 2 20 2
 73 29 2 20 2
 74 29 2 20 2
 75 29 2 20 2
 76 29 2 20 2
 77 29 2 20 2
 78 29 2 20 2
 79 29 2 20 2
 80 29 2 20 2
 81 29 2 20 2
 82 29 2 20 2
 83 29 2 20 2
 84 29 2 20 2
 85 29 2 20 2
 86 31 2 20 2
 87 31 2 20 2
 88 31 2 21 2
 89 31 2 21 2
 90 31 2 21 2
 91 31 2 21 2
 92 31 2 21 2
 93 31 2 21 2
 94 31 2 21 2
 95 31 2 21 2
 96 31 2 21 2
 97 31 2 21 2
 98 31 2 21 2
 99 31 2 21 2
 100 31 2 21 2
