Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
1,2,0,1,0.5,0.5,0.5,0.5,1,1
1,3,0,1,0.5,0.5,0.5,0.5,1,1
1,4,0,1,0.5,0.5,0.5,0.5,1,1
1,5,0,1,0.5,0.5,0,1,1,1
1,6,0,1,0.5,0.5,0,1,1,1
1,7,0,1,0.5,0.5,0,1,1,1
1,8,0,1,0.5,0.5,0.5,0.5,1,1
1,9,0,1,0,1,0.5,0.5,1,1
1,10,0,1,0,1,0.5,0.5,1,1
1,11,0,1,0.5,0.5,0.5,0.5,1,1
1,12,0,1,0.5,0.5,0.5,0.5,1,1
1,13,0,1,0,1,0.5,0.5,1,1
1,14,0,1,0.5,0.5,0.5,0.5,1,1
1,15,0,1,0,1,0.5,0.5,1,1
1,16,0,1,0,1,0.5,0.5,1,1
1,17,0,1,0.5,0.5,0.5,0.5,1,1
1,18,0,1,0.5,0.5,0.5,0.5,1,1
1,19,0,1,0.5,0.5,0.5,0.5,1,1
1,20,0,1,0.5,0.5,0.5,0.5,1,1
20,2,0.4675,0.5325,0.51625,0.51625,0.33875,0.66125,0.575,0.575
20,3,0.59125,0.59125,0.53375,0.53375,0.36875,0.63125,0.575,0.575
20,4,0.61125,0.61125,0.57,0.57,0.4525,0.5475,0.6,0.6
20,5,0.545,0.545,0.5425,0.5425,0.36875,0.63125,0.575,0.575
20,6,0.4525,0.5475,0.565,0.565,0.31625,0.68375,0.6,0.6
20,7,0.675,0.675,0.57875,0.57875,0.38125,0.61875,0.575,0.575
20,8,0.50875,0.50875,0.53375,0.53375,0.365,0.635,0.575,0.575
20,9,0.46125,0.53875,0.51625,0.51625,0.41375,0.58625,0.55,0.55
20,10,0.52375,0.52375,0.4525,0.5475,0.4525,0.5475,0.55,0.55
20,11,0.49625,0.50375,0.53125,0.53125,0.36125,0.63875,0.575,0.575
20,12,0.52375,0.52375,0.49375,0.50625,0.43,0.57,0.575,0.575
